"species","latitude","longitude","source"
"Rhinolophus affinis",1.128167,110.218528,"GBIF"
"Rhinolophus affinis",15.483334,99.283333,"GBIF"
"Rhinolophus affinis",8.7325,125.0035,"GBIF"
"Rhinolophus affinis",15.065194,99.499581,"GBIF"
"Rhinolophus affinis",22.508108,114.250938,"GBIF"
"Rhinolophus affinis",6.950095,100.234022,"GBIF"
"Rhinolophus affinis",19.394423,98.928028,"GBIF"
"Rhinolophus affinis",22.52859,114.16355,"GBIF"
"Rhinolophus affinis",21.9204,101.268,"GBIF"
"Rhinolophus affinis",24.6174,102.163,"GBIF"
"Rhinolophus affinis",21.91,101.281,"GBIF"
"Rhinolophus affinis",24.8796,103.99,"GBIF"
"Rhinolophus affinis",7.01,100.02,"GBIF"
"Rhinolophus affinis",5.7983,101.825,"GBIF"
"Rhinolophus affinis",7.0129,100.021,"GBIF"
"Rhinolophus affinis",12.5371,99.4635,"GBIF"
"Rhinolophus affinis",6.51,99.32,"GBIF"
"Rhinolophus affinis",19.51,98.83,"GBIF"
"Rhinolophus affinis",22.81,93.7,"GBIF"
"Rhinolophus affinis",17.51,100.95,"GBIF"
"Rhinolophus affinis",6.99,100.15,"GBIF"
"Rhinolophus affinis",17.5,100.94,"GBIF"
"Rhinolophus affinis",5.8,101.83,"GBIF"
"Rhinolophus affinis",6.9297,100.272,"GBIF"
"Rhinolophus affinis",16.18,107.87,"GBIF"
"Rhinolophus affinis",14.48,107.64,"GBIF"
"Rhinolophus affinis",1.1314,110.219,"GBIF"
"Rhinolophus affinis",21.51,105.61,"GBIF"
"Rhinolophus affinis",23.12,105.97,"GBIF"
"Rhinolophus affinis",21.89,107.83,"GBIF"
"Rhinolophus affinis",26.42,111.03,"GBIF"
"Rhinolophus affinis",12.18,108.68,"GBIF"
"Rhinolophus affinis",15.23,108.03,"GBIF"
"Rhinolophus affinis",23.117,105.967,"GBIF"
"Rhinolophus affinis",21.893,107.828,"GBIF"
"Rhinolophus affinis",22.35,103.833,"GBIF"
"Rhinolophus affinis",2.533,103.267,"GBIF"
"Rhinolophus affinis",21.846,107.889,"GBIF"
"Rhinolophus affinis",2.533,103.4,"GBIF"
"Rhinolophus affinis",18.383,103.067,"GBIF"
"Rhinolophus affinis",12.18,108.7,"GBIF"
"Rhinolophus affinis",11.417,107.433,"GBIF"
"Rhinolophus affinis",20.7,96.972,"GBIF"
