"species","latitude","longitude","source"
"Rhinolophus pusillus",20.1,103.32,"GBIF"
"Rhinolophus pusillus",22.508108,114.250938,"GBIF"
"Rhinolophus pusillus",22.436783,114.192077,"GBIF"
"Rhinolophus pusillus",22.445912,114.1373,"GBIF"
"Rhinolophus pusillus",32.057452,119.058863,"GBIF"
"Rhinolophus pusillus",32.059616,118.822918,"GBIF"
"Rhinolophus pusillus",32.058606,118.822121,"GBIF"
"Rhinolophus pusillus",32.052686,118.83422,"GBIF"
"Rhinolophus pusillus",22.407296,114.081073,"GBIF"
"Rhinolophus pusillus",22.438185,114.192545,"GBIF"
"Rhinolophus pusillus",22.43654,114.158229,"GBIF"
"Rhinolophus pusillus",17.48,100.98,"GBIF"
"Rhinolophus pusillus",25.48,107.88,"GBIF"
"Rhinolophus pusillus",21.45,105.63,"GBIF"
"Rhinolophus pusillus",23.117,105.967,"GBIF"
"Rhinolophus pusillus",21.846,107.889,"GBIF"
"Rhinolophus pusillus",20.736,101.167,"GBIF"
"Rhinolophus pusillus",20.433,103.383,"GBIF"
"Rhinolophus pusillus",20.115,103.31,"GBIF"
"Rhinolophus pusillus",14.822,106.06,"GBIF"
"Rhinolophus pusillus",14.933,107.033,"GBIF"
"Rhinolophus pusillus",22.333,103.883,"GBIF"
"Rhinolophus pusillus",15.083,107.267,"GBIF"
"Rhinolophus pusillus",15.23,108.03,"GBIF"
"Rhinolophus pusillus",18.267,105.45,"GBIF"
"Rhinolophus pusillus",17.567,105.833,"GBIF"
"Rhinolophus pusillus",14.85,106.1,"GBIF"
"Rhinolophus pusillus",17.51,100.95,"GBIF"
"Rhinolophus pusillus",18.38,103.07,"GBIF"
"Rhinolophus pusillus",11.42,107.43,"GBIF"
"Rhinolophus pusillus",14.983,107.217,"GBIF"
"Rhinolophus pusillus",28.417,114.117,"GBIF"
"Rhinolophus pusillus",18.383,103.067,"GBIF"
"Rhinolophus pusillus",21.055,101.232,"GBIF"
"Rhinolophus pusillus",15.05,106.1,"GBIF"
"Rhinolophus pusillus",12.1,108.93,"GBIF"
"Rhinolophus pusillus",26.417,111.033,"GBIF"
"Rhinolophus pusillus",18.433,102.933,"GBIF"
"Rhinolophus pusillus",21.45,105.633,"GBIF"
"Rhinolophus pusillus",20.171,103.188,"GBIF"
"Rhinolophus pusillus",22.414085,114.091632,"GBIF"
"Rhinolophus pusillus",22.114943,113.558704,"GBIF"
"Rhinolophus pusillus",-7.747647,110.131205,"GBIF"
"Rhinolophus pusillus",-7.58682,110.430393,"GBIF"
"Rhinolophus pusillus",4.691541,102.031506,"GBIF"
"Rhinolophus pusillus",12.207425,103.034923,"GBIF"
"Rhinolophus pusillus",22.60783,105.87076,"GBIF"
"Rhinolophus pusillus",19.98994,104.98191,"GBIF"
"Rhinolophus pusillus",22.56351,105.87413,"GBIF"
"Rhinolophus pusillus",16.93583,106.57533,"GBIF"
"Rhinolophus pusillus",25.4435,100.5551,"GBIF"
"Rhinolophus pusillus",11.242032,107.405793,"GBIF"
"Rhinolophus pusillus",11.457417,107.348953,"GBIF"
"Rhinolophus pusillus",11.457821,107.347675,"GBIF"
"Rhinolophus pusillus",11.457174,107.350391,"GBIF"
"Rhinolophus pusillus",11.456462,107.352072,"GBIF"
"Rhinolophus pusillus",11.456097,107.35247,"GBIF"
"Rhinolophus pusillus",11.24425,107.40399,"GBIF"
"Rhinolophus pusillus",11.4207,107.42879,"GBIF"
"Rhinolophus pusillus",11.242964,107.405412,"GBIF"
"Rhinolophus pusillus",11.441432,107.431507,"GBIF"
"Rhinolophus pusillus",11.242392,107.40548,"GBIF"
"Rhinolophus pusillus",-6.45386,106.506,"GBIF"
"Rhinolophus pusillus",-6.515,106.92,"GBIF"
"Rhinolophus pusillus",5.445556,100.2194,"GBIF"
"Rhinolophus pusillus",5.308611,100.22,"GBIF"
"Rhinolophus pusillus",5.43,100.27,"GBIF"
"Rhinolophus pusillus",5.44,100.29,"GBIF"
"Rhinolophus pusillus",5.43,100.29,"GBIF"
"Rhinolophus pusillus",13.686864,104.015296,"GBIF"
"Rhinolophus pusillus",13.690016,104.014488,"GBIF"
"Rhinolophus pusillus",22.197717,106.03355,"GBIF"
"Rhinolophus pusillus",22.19665,106.0355,"GBIF"
"Rhinolophus pusillus",22.195917,106.038317,"GBIF"
"Rhinolophus pusillus",22.276467,106.054917,"GBIF"
"Rhinolophus pusillus",22.24725,105.978217,"GBIF"
"Rhinolophus pusillus",22.246483,105.974483,"GBIF"
"Rhinolophus pusillus",25.793957,94.893951,"GBIF"
"Rhinolophus pusillus",23.5,103.1667,"GBIF"
"Rhinolophus pusillus",21.952889,96.675367,"GBIF"
"Rhinolophus pusillus",9.5833,77.25,"GBIF"
"Rhinolophus pusillus",27.25,96.87,"GBIF"
"Rhinolophus pusillus",21.47484,105.5708,"GBIF"
"Rhinolophus pusillus",13.1043,102.1941,"GBIF"
"Rhinolophus pusillus",17.5055,100.942333,"GBIF"
"Rhinolophus pusillus",16.3838,101.562367,"GBIF"
"Rhinolophus pusillus",17.473817,101.97565,"GBIF"
"Rhinolophus pusillus",12.962222,101.71,"GBIF"
"Rhinolophus pusillus",12.583333,102.25,"GBIF"
"Rhinolophus pusillus",39.4166666666667,115.283333333333,"Zhang et al. 2009"
"Rhinolophus pusillus",39.75,115.75,"Zhang et al. 2009"
"Rhinolophus pusillus",25.2,117.25,"Zhang et al. 2009"
"Rhinolophus pusillus",26.65,117.566666666667,"Zhang et al. 2009"
"Rhinolophus pusillus",25.65,116.883333333333,"Zhang et al. 2009"
"Rhinolophus pusillus",25.55,116.983333333333,"Zhang et al. 2009"
"Rhinolophus pusillus",25.55,117,"Zhang et al. 2009"
"Rhinolophus pusillus",25.8666666666667,117.283333333333,"Zhang et al. 2009"
"Rhinolophus pusillus",26.4166666666667,117.65,"Zhang et al. 2009"
"Rhinolophus pusillus",26.7166666666667,117.483333333333,"Zhang et al. 2009"
"Rhinolophus pusillus",23.2666666666667,114.066666666667,"Zhang et al. 2009"
"Rhinolophus pusillus",22.3333333333333,110.95,"Zhang et al. 2009"
"Rhinolophus pusillus",22.3333333333333,110.966666666667,"Zhang et al. 2009"
"Rhinolophus pusillus",22.25,111,"Zhang et al. 2009"
"Rhinolophus pusillus",22.3833333333333,111.2,"Zhang et al. 2009"
"Rhinolophus pusillus",22.2833333333333,111.033333333333,"Zhang et al. 2009"
"Rhinolophus pusillus",25.2833333333333,110.35,"Zhang et al. 2009"
"Rhinolophus pusillus",25.2833333333333,110.3,"Zhang et al. 2009"
"Rhinolophus pusillus",25.3166666666667,105.083333333333,"Zhang et al. 2009"
"Rhinolophus pusillus",18.9,109.7,"Zhang et al. 2009"
"Rhinolophus pusillus",31.15,111.133333333333,"Zhang et al. 2009"
"Rhinolophus pusillus",31.35,110.5,"Zhang et al. 2009"
"Rhinolophus pusillus",31.9166666666667,110.733333333333,"Zhang et al. 2009"
"Rhinolophus pusillus",25.8833333333333,114.5,"Zhang et al. 2009"
"Rhinolophus pusillus",28.6166666666667,116.466666666667,"Zhang et al. 2009"
"Rhinolophus pusillus",25.25,116.833333333333,"Zhang et al. 2009"
"Rhinolophus pusillus",30.4833333333333,103.4,"Zhang et al. 2009"
"Rhinolophus pusillus",29.8,102.233333333333,"Zhang et al. 2009"
"Rhinolophus pusillus",24.2,103.233333333333,"Zhang et al. 2009"
"Rhinolophus pusillus",24.1833333333333,103.35,"Zhang et al. 2009"
"Rhinolophus pusillus",17.55417,104.81944,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45."
"Rhinolophus pusillus",17.54722,104.93194,"Robinson, M. F., & Webber, M. (2000). Survey of bats (Mammalia: Chiroptera) in the Khammouan Limestone National Biodiversity Conservation Area. Lao PDR Natural History Bulletin of the Siam Society, 48, 21-45."
"Rhinolophus pusillus",22.183333,106.033333,"Furey, N. M., Mackie, I. J., & Racey, P. A. (2011). Furey, N. M., Mackie, I. J., & Racey, P. A. (2011). Reproductive Phenology of Bat Assemblages in Vietnamese Karst and Its Conservation Implications. Acta Chiropterologica, 13(2), 341Ð354."
"Rhinolophus pusillus",22.60778,105.87056,"Tu, V. T., Est—k, P., Csorba, G., Son, N. T., Thanh, H. T., & Gšrfšl, T. (2016). Recent remarkable records reveal that Phia Oac-Phia Den Nature Reserve is a priority area for bat conservation in Northern Vietnam. Journal of Asia-Pacific Biodiversity,"
"Rhinolophus pusillus",22.56361,105.88111,"Tu, V. T., Est—k, P., Csorba, G., Son, N. T., Thanh, H. T., & Gšrfšl, T. (2016). Recent remarkable records reveal that Phia Oac-Phia Den Nature Reserve is a priority area for bat conservation in Northern Vietnam. Journal of Asia-Pacific Biodiversity,"
"Rhinolophus pusillus",22.5925,105.88111,"Tu, V. T., Est—k, P., Csorba, G., Son, N. T., Thanh, H. T., & Gšrfšl, T. (2016). Recent remarkable records reveal that Phia Oac-Phia Den Nature Reserve is a priority area for bat conservation in Northern Vietnam. Journal of Asia-Pacific Biodiversity,"
"Rhinolophus pusillus",24.61744,102.16331,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus pusillus",24.61736,102.16347,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus pusillus",23.67447,104.41003,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus pusillus",20.83779,106.9838,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus pusillus",20.75368,107.0126,"Landscape Ecology Group, XTBG,CAS"
"Rhinolophus pusillus",21.13282,96.34028,"Landscape Ecology Group, XTBG,CAS"
