"species","latitude","longitude","source"
"Rhinolophus sinicus_thomasi",22.383301,114.242256,"GBIF"
"Rhinolophus sinicus_thomasi",22.413577,114.095074,"GBIF"
"Rhinolophus sinicus_thomasi",22.373874,114.095498,"GBIF"
"Rhinolophus sinicus_thomasi",22.52859,114.16355,"GBIF"
"Rhinolophus sinicus_thomasi",22.374099,114.263872,"GBIF"
"Rhinolophus sinicus_thomasi",22.445912,114.1373,"GBIF"
"Rhinolophus sinicus_thomasi",22.40621,114.241306,"GBIF"
"Rhinolophus sinicus_thomasi",22.81,93.7,"GBIF"
"Rhinolophus sinicus_thomasi",20.723,101.138,"GBIF"
"Rhinolophus sinicus_thomasi",28.417,114.117,"GBIF"
"Rhinolophus sinicus_thomasi",20.755,97.018,"GBIF"
"Rhinolophus sinicus_thomasi",17.408,105.775,"GBIF"
"Rhinolophus sinicus_thomasi",18.917,102.417,"GBIF"
"Rhinolophus sinicus_thomasi",17.567,105.833,"GBIF"
"Rhinolophus sinicus_thomasi",17.6,104.983,"GBIF"
"Rhinolophus sinicus_thomasi",17.41,105.78,"GBIF"
"Rhinolophus sinicus_thomasi",17.508,105.85,"GBIF"
"Rhinolophus sinicus_thomasi",20.736,101.167,"GBIF"
"Rhinolophus sinicus_thomasi",28.226,107.16,"GBIF"
"Rhinolophus sinicus_thomasi",22.4,103.85,"GBIF"
"Rhinolophus sinicus_thomasi",28.234,107.152,"GBIF"
"Rhinolophus sinicus_thomasi",29.123,107.59,"GBIF"
"Rhinolophus sinicus_thomasi",21.846,107.889,"GBIF"
"Rhinolophus sinicus_thomasi",26.417,111.033,"GBIF"
"Rhinolophus sinicus_thomasi",20.404,104.222,"GBIF"
"Rhinolophus sinicus_thomasi",20.433,103.383,"GBIF"
"Rhinolophus sinicus_thomasi",20.4,103.35,"GBIF"
"Rhinolophus sinicus_thomasi",20.572,96.603,"GBIF"
"Rhinolophus sinicus_thomasi",17.667,105.933,"GBIF"
"Rhinolophus sinicus_thomasi",20.45,103.383,"GBIF"
"Rhinolophus sinicus_thomasi",20.262,103.381,"GBIF"
"Rhinolophus sinicus_thomasi",15.05,106.1,"GBIF"
"Rhinolophus sinicus_thomasi",22.333,103.883,"GBIF"
"Rhinolophus sinicus_thomasi",17.6,105.167,"GBIF"
"Rhinolophus sinicus_thomasi",22.40523,114.265664,"GBIF"
"Rhinolophus sinicus_thomasi",22.405567,114.26608,"GBIF"
"Rhinolophus sinicus_thomasi",22.422,114.102,"GBIF"
"Rhinolophus sinicus_thomasi",15.377166,99.630711,"GBIF"
"Rhinolophus sinicus_thomasi",22.228377,113.921915,"GBIF"
"Rhinolophus sinicus_thomasi",22.244532,114.222343,"GBIF"
"Rhinolophus sinicus_thomasi",22.422642,114.1045,"GBIF"
"Rhinolophus sinicus_thomasi",22.390931,114.234044,"GBIF"
"Rhinolophus sinicus_thomasi",21.742401,101.489053,"GBIF"
"Rhinolophus sinicus_thomasi",11.88,107.98,"GBIF"
"Rhinolophus sinicus_thomasi",22.78,104.81,"GBIF"
"Rhinolophus sinicus_thomasi",16.61,106.88,"GBIF"
"Rhinolophus sinicus_thomasi",20.46352,105.30672,"GBIF"
"Rhinolophus sinicus_thomasi",22.60794,105.8711,"GBIF"
"Rhinolophus sinicus_thomasi",16.6,106.86667,"GBIF"
"Rhinolophus sinicus_thomasi",22.56327,105.87404,"GBIF"
"Rhinolophus sinicus_thomasi",24.4802,102.2943,"GBIF"
"Rhinolophus sinicus_thomasi",24.5024,102.3395,"GBIF"
"Rhinolophus sinicus_thomasi",22.19665,106.0355,"GBIF"
"Rhinolophus sinicus_thomasi",22.196767,106.036933,"GBIF"
"Rhinolophus sinicus_thomasi",22.197717,106.03355,"GBIF"
"Rhinolophus sinicus_thomasi",22.8065,93.6998,"GBIF"
"Rhinolophus sinicus_thomasi",25.483,107.882,"GBIF"
"Rhinolophus sinicus_thomasi",17.5597,104.8278,"GBIF"
"Rhinolophus sinicus_thomasi",17.559722,104.827778,"GBIF"
"Rhinolophus sinicus_thomasi",21.883333,101.3,"GBIF"
"Rhinolophus sinicus_thomasi",13.711783,99.760167,"GBIF"
"Rhinolophus sinicus_thomasi",13.592117,99.666867,"GBIF"
"Rhinolophus sinicus_thomasi",15.704333,98.971333,"GBIF"
"Rhinolophus sinicus_thomasi",26.65,117.566666666667,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",26.7,117.5,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",25.2,117.25,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",25.25,116.833333333333,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",25.65,116.883333333333,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",25.8666666666667,117.283333333333,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",26.35,117.183333333333,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",27.75,117.5,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",27.6166666666667,117.833333333333,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",27.8166666666667,117.716666666667,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",23.2666666666667,114.066666666667,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",22.3333333333333,110.95,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",22.3333333333333,110.966666666667,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",22.25,111,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",25.2833333333333,110.35,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",23.4166666666667,110.25,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",19.0666666666667,109.766666666667,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",18.9,109.7,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",31.35,110.5,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",28.6166666666667,116.466666666667,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",29.5666666666667,103.416666666667,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",29.55,109.783333333333,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",24.2,103.233333333333,"Zhang et al. 2009"
"Rhinolophus sinicus_thomasi",30.34185,117.835466666667,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",30.4464166666667,118.41305,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",29.7533166666667,118.38885,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",29.3685333333333,117.572066666667,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",29.3710333333333,117.65595,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",29.3710333333333,117.538916666667,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",28.06845,116.97045,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",28.1121,116.988033333333,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",27.7333333333333,117.666666666667,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",27.7423833333333,117.499216666667,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",27.8085166666667,117.708416666667,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",26.6025166666667,114.212233333333,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",26.52025,115.110166666667,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",26.3219,115.58715,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",26.7039333333333,117.497783333333,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",26.65895,117.573116666667,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",26.3573333333333,117.189966666667,"Mao et al. 2013"
"Rhinolophus sinicus_thomasi",25.8583333333333,117.283333333333,"Mao et al. 2013"
