"species","latitude","longitude","source"
"Rhinolophus stheno",3.596,102.181722,"GBIF"
"Rhinolophus stheno",22.333,105.417,"GBIF"
"Rhinolophus stheno",18.383,103.067,"GBIF"
"Rhinolophus stheno",11.417,107.433,"GBIF"
"Rhinolophus stheno",18.439,102.95,"GBIF"
"Rhinolophus stheno",22.417,105.4,"GBIF"
"Rhinolophus stheno",23.117,105.967,"GBIF"
"Rhinolophus stheno",22.33,105.42,"GBIF"
"Rhinolophus stheno",17.6,105.17,"GBIF"
"Rhinolophus stheno",14.95,107.15,"GBIF"
"Rhinolophus stheno",20.262,103.381,"GBIF"
"Rhinolophus stheno",20.4,103.35,"GBIF"
"Rhinolophus stheno",17.633,104.95,"GBIF"
"Rhinolophus stheno",12.1,108.93,"GBIF"
"Rhinolophus stheno",17.6,104.983,"GBIF"
"Rhinolophus stheno",3.717,102.167,"GBIF"
"Rhinolophus stheno",7.917,99.267,"GBIF"
"Rhinolophus stheno",11.639,103.574,"GBIF"
"Rhinolophus stheno",14.983,107.217,"GBIF"
"Rhinolophus stheno",18.842,104.583,"GBIF"
"Rhinolophus stheno",-5.65,104.4,"GBIF"
"Rhinolophus stheno",4.324251,101.908585,"GBIF"
"Rhinolophus stheno",4.590955,101.987139,"GBIF"
"Rhinolophus stheno",-6.45386,106.506,"GBIF"
"Rhinolophus stheno",5.351944,100.2525,"GBIF"
"Rhinolophus stheno",5.430556,100.2944,"GBIF"
"Rhinolophus stheno",5.414167,100.2753,"GBIF"
"Rhinolophus stheno",5.308611,100.22,"GBIF"
"Rhinolophus stheno",5.445556,100.2194,"GBIF"
"Rhinolophus stheno",5.43,100.27,"GBIF"
"Rhinolophus stheno",17.6,105.167,"GBIF"
"Rhinolophus stheno",17.5472,104.9319,"GBIF"
"Rhinolophus stheno",-7.45,108.55,"GBIF"
"Rhinolophus stheno",17.9833,104.817,"GBIF"
"Rhinolophus stheno",10.031833,98.842,"GBIF"
"Rhinolophus stheno",10.032352,98.842156,"GBIF"
"Rhinolophus stheno",7.0709,100.251633,"GBIF"
"Rhinolophus stheno",6.944444,100.244444,"GBIF"
"Rhinolophus stheno",6.923889,100.293889,"GBIF"
"Rhinolophus stheno",5.8025,101.820833,"GBIF"
"Rhinolophus stheno",21.9666666666667,100.816666666667,"Zhang et al. 2009"
"Rhinolophus stheno",16.2,107.75,"Soisook et al. 2008"
"Rhinolophus stheno",14.3166666666667,108.4,"Soisook et al. 2008"
"Rhinolophus stheno",10.0166666666667,98.8333333333333,"Soisook et al. 2008"
"Rhinolophus stheno",8.83333333333333,98.8,"Soisook et al. 2008"
"Rhinolophus stheno",7.06666666666667,100.25,"Soisook et al. 2008"
"Rhinolophus stheno",7.01666666666667,100.133333333333,"Soisook et al. 2008"
"Rhinolophus stheno",6.98333333333333,100.283333333333,"Soisook et al. 2008"
"Rhinolophus stheno",6.91666666666667,100.283333333333,"Soisook et al. 2008"
"Rhinolophus stheno",5.8,101.816666666667,"Soisook et al. 2008"
"Rhinolophus stheno",3.58333333333333,102.25,"Soisook et al. 2008"
"Rhinolophus stheno",3.5,101.5,"Soisook et al. 2008"
"Rhinolophus stheno",4.9,100.7,"Soisook et al. 2008"
"Rhinolophus stheno",3.23333333333333,101.683333333333,"Soisook et al. 2008"
"Rhinolophus stheno",4.26,101.55,"PREDICT"
