"presence","x","y","cells","bio1","bio12","bio15","ntl","pop_dens","dist_karst","perc_water_bodies","perc_evgrn_ndlf_forests","perc_evgrn_brdlf_forests","perc_decid_brdlf_forests","perc_mxd_forests"
0,111.125,37.825,327,8.04654121398926,481.964294433594,100.632293701172,0.378276109695435,296.5205078125,0,0,0,0,0,0
0,111.375,37.825,332,4.16589879989624,507.25,104.105659484863,0.28953942656517,79.5446014404297,0.180277571082115,0,0,0,41,52
0,111.525,37.825,335,3.14350867271423,518.476196289062,104.582298278809,0.293295085430145,4.52621603012085,0.282842725515366,0,0,0,14,12
0,111.625,37.825,337,4.08022022247314,515.464294433594,105.032272338867,0.28537505865097,8.77207183837891,0.269258230924606,0,0,0,7,18
0,111.875,37.825,342,6.1053032875061,487.178558349609,106.056060791016,0.360807627439499,37.0301055908203,0.0707106813788414,0,0,0,3,7
0,112.375,37.825,352,7.5464882850647,438.678558349609,109.116630554199,2.65913772583008,365.385864257812,0.0500000007450581,0,0,0,0,0
0,110.875,37.775,866,9.10165023803711,488.133331298828,97.6708526611328,0.339926064014435,359.849029541016,0.141421362757683,0,0,0,0,0
0,111.225,37.775,873,7.76109027862549,487.648895263672,100.520637512207,1.30499136447906,167.933578491211,0.0707106813788414,0,0,0,0,0
0,111.325,37.775,875,6.26126718521118,491.995239257812,102.712699890137,0.336858987808228,29.6769618988037,0.111803397536278,0,0,0,16,3
0,111.975,37.775,888,5.96774530410767,484.3466796875,106.853126525879,0.379096180200577,57.1454429626465,0,0,0,0,3,21
0,110.625,37.725,1405,9.44527816772461,478.200012207031,98.4811553955078,0.315342307090759,123.11695098877,0.335410207509995,0,0,0,0,0
0,111.325,37.725,1419,6.77851343154907,491.590484619141,101.567001342773,0.383752077817917,24.0872859954834,0.0707106813788414,0,0,0,0,2
0,111.425,37.725,1421,4.68617916107178,505.547607421875,103.479972839355,0.293529510498047,20.2301425933838,0.141421362757683,0,0,0,37,46
0,111.525,37.725,1423,5.0847430229187,496.964447021484,105.057991027832,0.35579189658165,5.51304244995117,0.223606795072556,0,0,0,0,63
0,111.575,37.725,1424,5.31441593170166,499.052368164062,105.177345275879,0.300883412361145,8.3326358795166,0.25,0,0,0,5,53
0,111.675,37.725,1426,6.10996341705322,490.776184082031,105.758323669434,0.275589376688004,6.56053161621094,0.200000002980232,0,0,0,0,76
0,112.175,37.725,1436,6.55352830886841,470.680938720703,107.667518615723,0.445276647806168,33.4600563049316,0.15811388194561,0,0,0,0,0
0,112.625,37.725,1445,10.0844612121582,417.566680908203,103.088081359863,18.9616050720215,1626.17907714844,0.15811388194561,0,0,0,0,0
0,110.775,37.675,1952,10.1064386367798,472.690490722656,99.0044860839844,0.406616032123566,281.334716796875,0.180277571082115,0,0,0,0,0
