"presence","x","y","cells","bio1","bio12","bio15","ntl","pop_dens","dist_karst","perc_water_bodies","perc_evgrn_ndlf_forests","perc_evgrn_brdlf_forests","perc_decid_brdlf_forests","perc_mxd_forests"
0,105.325,23.375,105,17.914529800415,1395.71423339844,88.8974456787109,0.292792171239853,128.836853027344,0,0,0,0,0,3
0,105.175,23.275,476,15.75510597229,1467.51904296875,90.0073928833008,0.301285952329636,142.119537353516,0,0,0,0,0,16
0,104.975,23.225,659,20.2512950897217,1594.12438964844,89.3308944702148,0.285124808549881,119.27214050293,0,0,0,5,0,4
0,105.425,23.225,668,18.4515132904053,1474.22375488281,89.3092727661133,0.303860157728195,146.564178466797,0,0,0,0,0,3
0,105.475,23.225,669,18.2578754425049,1467.90661621094,89.0001907348633,0.299851983785629,139.804138183594,0,0,0,0,0,0
0,105.525,23.225,670,18.0648574829102,1457.85339355469,88.6716690063477,0.289445161819458,116.93473815918,0,0,0,14,0,11
0,104.875,23.075,1218,17.38547706604,1592.57141113281,91.4670028686523,0.281074017286301,96.8892593383789,0,0,0,65,0,16
0,104.975,23.075,1220,18.7574901580811,1599.42858886719,90.6583404541016,0.298328518867493,96.895866394043,0,0,0,20,0,7
0,105.325,23.075,1227,21.1136627197266,1601.5458984375,89.8834381103516,0.278260409832001,131.392807006836,0,0,0,1,0,0
0,105.525,23.075,1231,20.706579208374,1486.38098144531,88.4244995117188,0.280344426631927,93.9274826049805,0,0,0,0,0,3
0,105.075,23.025,1409,18.5162181854248,1644.3857421875,91.696418762207,0.269289553165436,98.0839004516602,0,0,0,37,0,5
0,105.125,23.025,1410,16.7559947967529,1588.23327636719,92.5326309204102,0.259901583194733,108.149932861328,0,0,0,63,0,26
0,105.475,23.025,1417,21.6734867095947,1526.3955078125,88.9871139526367,0.307612508535385,122.105941772461,0,0,0,0,0,0
0,105.525,23.025,1418,21.0153846740723,1492.96447753906,89.195686340332,0.278710007667542,69.262939453125,0,0,0,0,0,12
0,105.625,23.025,1420,21.0242900848389,1435.63330078125,88.1756439208984,0.262396335601807,53.2469062805176,0,0,0,0,0,1
0,104.875,22.975,1592,19.9622936248779,1742.80004882812,91.2733688354492,0.337853401899338,82.2140274047852,0,0,0,35,0,12
0,104.925,22.975,1593,21.1029376983643,1871.60473632812,90.9769668579102,0.304171353578568,80.5486297607422,0,0,0,5,0,8
0,104.975,22.975,1594,20.5249061584473,1782.46667480469,91.2544860839844,0.299112677574158,86.5070724487305,0,0,0,10,0,4
0,105.025,22.975,1595,19.6494846343994,1732.3466796875,91.3287658691406,0.286077499389648,85.7170028686523,0,0,0,50,0,9
0,105.075,22.975,1596,18.7079849243164,1655.3857421875,91.7321319580078,0.269168585538864,93.0066528320312,0,0,0,56,0,24
0,105.475,22.975,1604,21.5400581359863,1532.65783691406,89.4529724121094,0.280326902866364,66.5895843505859,0,0,0,4,0,2
0,106.025,22.975,1615,20.7934703826904,1455.7822265625,87.7694396972656,0.293801963329315,75.7983474731445,0,0,0,31,0,0
0,104.775,22.925,1777,18.6300735473633,1676.01904296875,93.6849746704102,0.309450685977936,68.7437362670898,0.0707106813788414,0,0,41,0,16
0,105.875,22.925,1799,19.6360111236572,1533.10717773438,89.6078033447266,0.28500172495842,67.7400894165039,0,0,0,6,0,1
0,105.975,22.925,1801,20.4658050537109,1489.09997558594,88.5035095214844,0.284404844045639,76.3602828979492,0.0500000007450581,0,0,45,0,2
0,106.125,22.925,1804,19.8566780090332,1549.96423339844,89.3602828979492,0.272715985774994,74.0426559448242,0,0,0,1,0,2
