"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
911739234,"854f70cc-55e3-4af2-9417-0f47d6c7902d","urn:catalog:TTU:Mammals:108362","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","SPECIES","Rhinolophus affinis Horsfield, 1823","Rhinolophus affinis","","MY","MOUNT PENRISEN, BORNEO HEIGHTS","Sarawak","PRESENT",NA,"acac73b0-055d-11d8-b84f-b8a03c50a862",1.128167,110.218528,NA,NA,857,0,NA,NA,2006-08-17,17,8,2006,2432641,2432641,"PRESERVED_SPECIMEN","TTU","Mammals","108362","2707","",NA,"CC_BY_4_0","","BAKER, R J ET AL; SOLARI, S",NA,"Native",2023-09-07 08:08:26.378,"","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
911739182,"854f70cc-55e3-4af2-9417-0f47d6c7902d","urn:catalog:TTU:Mammals:108361","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","SPECIES","Rhinolophus affinis Horsfield, 1823","Rhinolophus affinis","","MY","MOUNT PENRISEN, BORNEO HEIGHTS","Sarawak","PRESENT",NA,"acac73b0-055d-11d8-b84f-b8a03c50a862",1.128167,110.218528,NA,NA,857,0,NA,NA,2006-08-17,17,8,2006,2432641,2432641,"PRESERVED_SPECIMEN","TTU","Mammals","108361","862","",NA,"CC_BY_4_0","","BAKER, R J ET AL; LARSEN, P A",NA,"Native",2023-09-07 08:08:26.378,"","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
911739181,"854f70cc-55e3-4af2-9417-0f47d6c7902d","urn:catalog:TTU:Mammals:108360","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","SPECIES","Rhinolophus affinis Horsfield, 1823","Rhinolophus affinis","","MY","MOUNT PENRISEN, BORNEO HEIGHTS","Sarawak","PRESENT",NA,"acac73b0-055d-11d8-b84f-b8a03c50a862",1.128167,110.218528,NA,NA,857,0,NA,NA,2006-08-17,17,8,2006,2432641,2432641,"PRESERVED_SPECIMEN","TTU","Mammals","108360","47","",NA,"CC_BY_4_0","","BAKER, R J ET AL; ANWARALI, F A",NA,"Native",2023-09-07 08:08:26.378,"","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
911739040,"854f70cc-55e3-4af2-9417-0f47d6c7902d","urn:catalog:TTU:Mammals:108177","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus stheno","","SPECIES","Rhinolophus stheno K.Andersen, 1905","Rhinolophus stheno","","MY","KRAU GAME RESERVE","Pahang","PRESENT",NA,"acac73b0-055d-11d8-b84f-b8a03c50a862",3.596,102.181722,NA,NA,72,0,NA,NA,2006-08-04,4,8,2006,2432636,2432636,"PRESERVED_SPECIMEN","TTU","Mammals","108177","","",NA,"CC_BY_4_0","","BAKER, R J ET AL",NA,"Native",2023-09-07 08:08:26.344,"","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
911738994,"854f70cc-55e3-4af2-9417-0f47d6c7902d","urn:catalog:TTU:Mammals:108171","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus stheno","","SPECIES","Rhinolophus stheno K.Andersen, 1905","Rhinolophus stheno","","MY","KRAU GAME RESERVE","Pahang","PRESENT",NA,"acac73b0-055d-11d8-b84f-b8a03c50a862",3.596,102.181722,NA,NA,72,0,NA,NA,2006-08-03,3,8,2006,2432636,2432636,"PRESERVED_SPECIMEN","TTU","Mammals","108171","799","",NA,"CC_BY_4_0","","BAKER, R J ET AL; LARSEN, P A",NA,"Native",2023-09-07 08:08:26.344,"","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
911738985,"854f70cc-55e3-4af2-9417-0f47d6c7902d","urn:catalog:TTU:Mammals:108353","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","SPECIES","Rhinolophus affinis Horsfield, 1823","Rhinolophus affinis","","MY","MOUNT PENRISEN, BORNEO HEIGHTS","Sarawak","PRESENT",NA,"acac73b0-055d-11d8-b84f-b8a03c50a862",1.128167,110.218528,NA,NA,857,0,NA,NA,2006-08-17,17,8,2006,2432641,2432641,"PRESERVED_SPECIMEN","TTU","Mammals","108353","2705","",NA,"CC_BY_4_0","","BAKER, R J ET AL; SOLARI, S",NA,"Native",2023-09-07 08:08:26.378,"","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
911676539,"854f70cc-55e3-4af2-9417-0f47d6c7902d","urn:catalog:TTU:Mammals:45411","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","SPECIES","Rhinolophus affinis Horsfield, 1823","Rhinolophus affinis","","TH","HUAI KHA KHANG WILDLIFE SANCTUARY, 1.5 KM W KHAO NANG-RUM WILDLIFE RESEARCH STATION","Uthai thani prov","PRESENT",NA,"acac73b0-055d-11d8-b84f-b8a03c50a862",15.483334,99.283333,NA,NA,NA,NA,NA,NA,1983-07-23,23,7,1983,2432641,2432641,"PRESERVED_SPECIMEN","TTU","Mammals","45411","6114","",NA,"CC_BY_4_0","","SCHLITTER, D A",NA,"Native",2023-09-07 08:08:25.788,"","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
85187953,"85facc5c-f762-11e1-a439-00145eb45e9a","85187953","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus pusillus","","SPECIES","Rhinolophus pusillus Temminck, 1834","Rhinolophus pusillus","","LA","BAN NAMSA, NAM ET NBCA","","PRESENT",NA,"6b8da9ca-0648-4df3-9f0a-d43ab20a9412",20.1,103.32,NA,NA,NA,NA,NA,NA,1998-04-01,1,4,1998,2432639,2432639,"PRESERVED_SPECIMEN","EBD_CSIC","EBD_MAM","24956","","",NA,"CC_BY_NC_4_0","","",NA,"",2023-09-07 08:11:14.007,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
813328024,"1d04e739-98a9-4e16-9970-8f8f3bf9e9e3","905a6a4b-1ed8-11e3-bfac-90b11c41863e","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","SPECIES","Rhinolophus affinis Horsfield, 1823","Rhinolophus affinis?","","PH","Mt. Balatukan; Gingoog City; Lunotan; San Isidro","Misamis Oriental","PRESENT",NA,"b554c320-0560-11d8-b851-b8a03c50a862",8.7325,125.0035,NA,NA,NA,NA,NA,NA,2008-11-10,10,11,2008,2432641,2432641,"PRESERVED_SPECIMEN","KU","KUM","167145","","",NA,"CC_BY_4_0","","Esselstyn J A",NA,"",2023-09-27 15:55:35.35,"",""
813328023,"1d04e739-98a9-4e16-9970-8f8f3bf9e9e3","905a68e9-1ed8-11e3-bfac-90b11c41863e","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","","SPECIES","Rhinolophus affinis Horsfield, 1823","Rhinolophus affinis?","","PH","Mt. Balatukan; Gingoog City; Lunotan; San Isidro","Misamis Oriental","PRESENT",NA,"b554c320-0560-11d8-b851-b8a03c50a862",8.7325,125.0035,NA,NA,NA,NA,NA,NA,2008-11-10,10,11,2008,2432641,2432641,"PRESERVED_SPECIMEN","KU","KUM","167144","","",NA,"CC_BY_4_0","","Esselstyn J A",NA,"",2023-09-27 15:55:34.726,"",""
675929366,"b6015b60-6f96-43a9-88e5-2f41854e8f07","urn:catalog:TCWC:Mammals:55565","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus affinis","macrurus","SUBSPECIES","Rhinolophus affinis macrurus K.Andersen, 1905","Rhinolophus affinis macrurus","","TH","Huai Kha Khaeng Wildlife Sanctuary, 1.5 km W Khao Nang-Rum Wildlife Research Station, 15Â°29'N, 99Â°17'E","Uthai Thani","PRESENT",NA,"2b8e48b0-812d-11de-86fe-b8a03c50a862",15.065194,99.499581,NA,NA,NA,NA,NA,NA,1983-07-23,23,7,1983,4266822,2432641,"PRESERVED_SPECIMEN","TCWC","Mammals","55565","6115","",NA,"CC0_1_0","","Schlitter, D.A. et al; Schlitter, D.A.",NA,"Native",2023-09-27 16:38:40.63,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
665733219,"41fc5c40-5e81-496f-9733-6b5681b3b7a5","1ffacb8b-23db-4f00-a63f-47c1489833b9","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus sinicus","","SPECIES","Rhinolophus sinicus K.Andersen, 1905","Rhinolophus sinicus","","NP","Num Bridge, E Side","Sankhuwasabha","PRESENT",NA,"7b8aff00-a9f8-11d8-944b-b8a03c50a862",27.549999,87.283333,NA,NA,853,NA,NA,NA,1973-05-27,27,5,1973,7261959,7261959,"PRESERVED_SPECIMEN","FMNH","Mammals","114244","431","",NA,"CC0_1_0","The Field Museum of Natural History","D. M. Lay",NA,"",2023-09-27 15:57:35.573,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
