species,latitude,longitude,source
Rhinolophus affinis,3.7,101.967,Lim 2012
Rhinolophus affinis,3.7494,101.891,Lim 2012
Rhinolophus affinis,3.6348,102.4542,Lim 2012
Rhinolophus affinis,3.75,102.1667,Lim 2012
Rhinolophus affinis,3.683,102.083,Lim 2012
Rhinolophus affinis,6.1069,100.9628,Lim 2012
Rhinolophus affinis,4.6736,101.4857,Lim 2012
Rhinolophus affinis,5.3398,101.9766,Lim 2012
Rhinolophus affinis,3.2229,102.9011,Lim 2012
Rhinolophus affinis,5.51,101.36,Lim 2012
Rhinolophus affinis,4.2163,102.1882,Lim 2012
Rhinolophus affinis,3.2369,101.6378,Lim 2012
Rhinolophus affinis,5.5012,100.7732,Lim 2012
Rhinolophus affinis,6.3192,100.484,Lim 2012
Rhinolophus affinis,2.705,102.0782,Lim 2012
Rhinolophus affinis,5.1511,100.5457,Lim 2012
Rhinolophus affinis,4.5385,101.0039,Lim 2012
Rhinolophus affinis,4.22,100.555,Lim 2012
Rhinolophus affinis,4.3789,101.1757,Lim 2012
Rhinolophus affinis,5.6948,102.1681,Lim 2012
Rhinolophus affinis,5.7411,102.3784,Lim 2012
Rhinolophus affinis,5.7944,102.3384,Lim 2012
Rhinolophus affinis,4.4131,102.6813,Lim 2012
Rhinolophus affinis,3.8614,103.3575,Lim 2012
Rhinolophus affinis,3.9167,103.0333,Lim 2012
Rhinolophus affinis,2.1862,103.586,Lim 2012
Rhinolophus affinis,1.8693,103.9139,Lim 2012
Rhinolophus affinis,2.3456,103.1589,Lim 2012
Rhinolophus affinis,2.3833,102.3833,Lim 2012
Rhinolophus affinis,2.4667,102.4167,Lim 2012
Rhinolophus thomasi,20.88282,103.69528,Temmam et al. 2023
Rhinolophus thomasi,20.736283,104.50463,Temmam et al. 2023
Rhinolophus thomasi,20.734502,104.505343,Temmam et al. 2023
