species,latitude,longitude,source
Rhinolophus affinis,25°12'N,117°15'E,Zhang et al. 2009
Rhinolophus affinis,25°10'N,116°45'E,Zhang et al. 2009
Rhinolophus affinis,25°39'N,116°53'E,Zhang et al. 2009
Rhinolophus affinis,26°25'N,117°39'E,Zhang et al. 2009
Rhinolophus affinis,26°24'N,117°11'E,Zhang et al. 2009
Rhinolophus affinis,27°49'N,117°43'E,Zhang et al. 2009
Rhinolophus affinis,23°16'N,114°04'E,Zhang et al. 2009
Rhinolophus affinis,25°17'N,110°18'E,Zhang et al. 2009
Rhinolophus affinis,25°17'N,110°21'E,Zhang et al. 2009
Rhinolophus affinis,18°42'N,109°53'E,Zhang et al. 2009
Rhinolophus affinis,19°04'N,109°46'E,Zhang et al. 2009
Rhinolophus affinis,18°34'N,109°26'E,Zhang et al. 2009
Rhinolophus affinis,19°04'N,109°33'E,Zhang et al. 2009
Rhinolophus affinis,19°57'N,110°12'E,Zhang et al. 2009
Rhinolophus affinis,28°04'N,116°58'E,Zhang et al. 2009
Rhinolophus affinis,21°58'N,100°49'E,Zhang et al. 2009
Rhinolophus affinis,24°11'N,103°21'E,Zhang et al. 2009
Rhinolophus pusillus,39°25'N,115°17'E,Zhang et al. 2009
Rhinolophus pusillus,39°45'N,115°45'E,Zhang et al. 2009
Rhinolophus pusillus,25°12'N,117°15'E,Zhang et al. 2009
Rhinolophus pusillus,26°39'N,117°34'E,Zhang et al. 2009
Rhinolophus pusillus,25°39'N,116°53'E,Zhang et al. 2009
Rhinolophus pusillus,25°33'N,116°59'E,Zhang et al. 2009
Rhinolophus pusillus,25°33'N,116°60'E,Zhang et al. 2009
Rhinolophus pusillus,25°52'N,117°17'E,Zhang et al. 2009
Rhinolophus pusillus,26°25'N,117°39'E,Zhang et al. 2009
Rhinolophus pusillus,26°43'N,117°29'E,Zhang et al. 2009
Rhinolophus pusillus,23°16'N,114°04'E,Zhang et al. 2009
Rhinolophus pusillus,22°20'N,110°57'E,Zhang et al. 2009
Rhinolophus pusillus,22°20'N,110°58'E,Zhang et al. 2009
Rhinolophus pusillus,22°15'N,111°00'E,Zhang et al. 2009
Rhinolophus pusillus,22°23'N,110°72'E,Zhang et al. 2009
Rhinolophus pusillus,22°17'N,111°02'E,Zhang et al. 2009
Rhinolophus pusillus,25°17'N,110°21'E,Zhang et al. 2009
Rhinolophus pusillus,25°17'N,110°18'E,Zhang et al. 2009
Rhinolophus pusillus,25°19'N,105°05'E,Zhang et al. 2009
Rhinolophus pusillus,18°54'N,109°42'E,Zhang et al. 2009
Rhinolophus pusillus,31°09'N,111°08'E,Zhang et al. 2009
Rhinolophus pusillus,31°21'N,110°30'E,Zhang et al. 2009
Rhinolophus pusillus,31°55'N,110°44'E,Zhang et al. 2009
Rhinolophus pusillus,25°53'N,114°30'E,Zhang et al. 2009
Rhinolophus pusillus,28°37'N,116°28'E,Zhang et al. 2009
Rhinolophus pusillus,25°15'N,116°50'E,Zhang et al. 2009
Rhinolophus pusillus,30°29'N,103°24'E,Zhang et al. 2009
Rhinolophus pusillus,29°48'N,102°14'E,Zhang et al. 2009
Rhinolophus pusillus,24°12'N,103°14'E,Zhang et al. 2009
Rhinolophus pusillus,24°11'N,103°21'E,Zhang et al. 2009
Rhinolophus sinicus,26°39'N,117°34'E,Zhang et al. 2009
Rhinolophus sinicus,26°42'N,117°30'E,Zhang et al. 2009
Rhinolophus sinicus,25°12'N,117°15'E,Zhang et al. 2009
Rhinolophus sinicus,25°15'N,116°50'E,Zhang et al. 2009
Rhinolophus sinicus,25°39'N,116°53'E,Zhang et al. 2009
Rhinolophus sinicus,25°52'N,117°17'E,Zhang et al. 2009
Rhinolophus sinicus,26°21'N,117°11'E,Zhang et al. 2009
Rhinolophus sinicus,27°45'N,117°30'E,Zhang et al. 2009
Rhinolophus sinicus,27°37'N,117°50'E,Zhang et al. 2009
Rhinolophus sinicus,27°49'N,117°43'E,Zhang et al. 2009
Rhinolophus sinicus,23°16'N,114°04'E,Zhang et al. 2009
Rhinolophus sinicus,22°20'N,110°57'E,Zhang et al. 2009
Rhinolophus sinicus,22°20'N,110°58'E,Zhang et al. 2009
Rhinolophus sinicus,22°15'N,110°60'E,Zhang et al. 2009
Rhinolophus sinicus,25°17'N,110°21'E,Zhang et al. 2009
Rhinolophus sinicus,23°25'N,110°15'E,Zhang et al. 2009
Rhinolophus sinicus,19°04'N,109°46'E,Zhang et al. 2009
Rhinolophus sinicus,18°54'N,109°42'E,Zhang et al. 2009
Rhinolophus sinicus,31°21'N,110°30'E,Zhang et al. 2009
Rhinolophus sinicus,28°37'N,116°28'E,Zhang et al. 2009
Rhinolophus sinicus,29°34'N,103°25'E,Zhang et al. 2009
Rhinolophus sinicus,29°33'N,109°47'E,Zhang et al. 2009
Rhinolophus sinicus,24°12'N,103°14'E,Zhang et al. 2009
Rhinolophus stheno,21°58'N,100°49'E,Zhang et al. 2009
Rhinolophus affinis,13°48'N,105°17'E,Kingsada et al. 2011
Rhinolophus affinis,14°04'N,105°17'E,Kingsada et al. 2011
Rhinolophus affinis,14°21'N,107°22'E,Kingsada et al. 2011
Rhinolophus affinis,13°40'N,104°01'E,Kingsada et al. 2011
Rhinolophus affinis,"19°31'55""N","98°50'26""E",Kingsada et al. 2011
Rhinolophus affinis,"15°42'26""N","98°59'28""E",Kingsada et al. 2011
Rhinolophus affinis,"17°30'19""N","100°56'18""E",Kingsada et al. 2011
Rhinolophus affinis,"16°34'17""N","100.52'35""E",Kingsada et al. 2011
Rhinolophus affinis,16°18'N,101°52'E,Kingsada et al. 2011
Rhinolophus affinis,"14°21'08""N","103°15'54""E",Kingsada et al. 2011
Rhinolophus affinis,"10°55'08""N","99°22'26""E",Kingsada et al. 2011
Rhinolophus affinis,"10°10'00""N","98°55'11""E",Kingsada et al. 2011
Rhinolophus affinis,"09°43'36""N","99°06'30""E",Kingsada et al. 2011
Rhinolophus affinis,"10°19'34""N","98°45'55""E",Kingsada et al. 2011
Rhinolophus affinis,"10°01'55""N","98°55'11""E",Kingsada et al. 2011
Rhinolophus affinis,"07°05'25""N","99°54'35""E",Kingsada et al. 2011
Rhinolophus affinis,"07°00'03""N","100°08'32""E",Kingsada et al. 2011
Rhinolophus affinis,"06°59'59""N","100°17'52""E",Kingsada et al. 2011
Rhinolophus affinis,"07°04'16""N","100°15'59""E",Kingsada et al. 2011
Rhinolophus affinis,"05°47'54""N","101°49'30""E",Kingsada et al. 2011
Rhinolophus affinis,"06°39'38""N","99°38'2""E",Kingsada et al. 2011
