fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.7528847050754458,NA,0.06332478620929793,0.08499123308598817,0.7105055972817569,0.08469109723751267,NA,NA,0.13897249563466907,0.09921306643654533,0.01131782945736434,0.015901868409250338,6261.715704932913,142.7689589823949,9.069381534853664e-32,11
LQ,1,fc.LQ_rm.1,0.7713986282578875,NA,0.07706598141832537,0.0831263493534609,0.7272539873796299,0.09016974753282124,NA,NA,0.17908842992670693,0.13501281886991132,0.008211382113821138,0.011570736734347702,6192.810031423236,73.86328547271842,8.322514508328626e-17,16
H,1,fc.H_rm.1,0.8551200274348423,NA,0.08770590076800602,0.0665934856519998,0.7785196516806945,0.06852740950780344,NA,NA,0.227245203696907,0.11266274912146927,0.022250397606575247,0.022264534325067583,6288.2270331176505,169.28028716713288,1.5875079289793287e-37,109
LQH,1,fc.LQH_rm.1,0.8544149519890261,NA,0.08118767781856158,0.05903228122407054,0.7839199842483116,0.06121312239169992,NA,NA,0.201276211448845,0.09953176034672635,0.030461779720396383,0.027707564717565098,6160.690136399323,41.74339044880526,7.85237704886389e-10,83
L,1.5,fc.L_rm.1.5,0.7522770919067215,NA,0.06369478566454927,0.08593128275895971,0.7104089906021939,0.08615219627800962,NA,NA,0.12876111352084793,0.0927681474341002,0.01131782945736434,0.015901868409250338,6261.164909582926,142.2181636324085,1.1944868223714698e-31,10
LQ,1.5,fc.LQ_rm.1.5,0.7700228395061728,NA,0.0764905636963075,0.08481949280639933,0.725794458843206,0.09114176904545242,NA,NA,0.16666566569906466,0.13159435085041224,0.008211382113821138,0.011570736734347702,6193.685047037533,74.73830108701532,5.373377277559291e-17,14
H,1.5,fc.H_rm.1.5,0.8512982167352537,NA,0.08745321486070763,0.07294049895406576,0.7745829578807357,0.07934843301660634,NA,NA,0.19858603316539322,0.10410984924300652,0.017599234815877572,0.024334855197538398,6221.020878885533,102.07413293501577,6.227975128999074e-23,90
LQH,1.5,fc.LQH_rm.1.5,0.8477073388203018,NA,0.08069016792561254,0.06042377007427143,0.7795522995706193,0.06811324210081755,NA,NA,0.18661704091733122,0.0963459211976824,0.02712844638706305,0.03063044194231225,6152.581861712116,33.63511576159817,4.52575064750362e-8,73
L,2,fc.L_rm.2,0.7510799725651578,NA,0.06494679607277123,0.0875429058068664,0.7098093066460133,0.08879609669568535,NA,NA,0.13210995073015025,0.10966594887477345,0.01131782945736434,0.015901868409250338,6261.721880747015,142.7751347964977,9.04141932223586e-32,9
LQ,2,fc.LQ_rm.2,0.7680895747599451,NA,0.07681275412351311,0.08439801898346905,0.7256979794537061,0.09214040333756493,NA,NA,0.16466566569906466,0.11845468591553407,0.008211382113821138,0.011570736734347702,6195.678953461054,76.73220751053668,1.9827869684026893e-17,12
H,2,fc.H_rm.2,0.8478858710562415,NA,0.0918378921396881,0.08394787741707392,0.7674561286255441,0.09315361736051368,NA,NA,0.2018174235093924,0.1367419853748945,0.017599234815877572,0.024334855197538398,6158.0504009227825,39.10365497226485,2.9390868562832344e-9,68
LQH,2,fc.LQH_rm.2,0.8423485596707819,NA,0.08016621258552685,0.06324299907409517,0.7756484777854926,0.07248529848547362,NA,NA,0.17567606464026336,0.0770254420667635,0.01367766618842659,0.021381129186545028,6196.172520747186,77.2257747966687,1.5491707251954063e-17,77
L,2.5,fc.L_rm.2.5,0.7503497942386831,NA,0.06592660692325844,0.08899425607208028,0.7092230200605887,0.09064045579847053,NA,NA,0.13810995073015025,0.11497571711494828,0.01131782945736434,0.015901868409250338,6261.156705183406,142.20995923288865,1.1993969101222392e-31,8
LQ,2.5,fc.LQ_rm.2.5,0.7674447187928669,NA,0.07630685768344506,0.08492847694083325,0.7250626978075481,0.0924329882384801,NA,NA,0.15645428358524352,0.12225958127674703,0.011544715447154472,0.01612135877456317,6197.708001400557,78.76125545003924,7.18908956157352e-18,11
H,2.5,fc.H_rm.2.5,0.8446717421124829,NA,0.09891454946198401,0.09852058285943763,0.7578014614706282,0.10977894221011703,NA,NA,0.2052377965366521,0.13516130128560078,0.0160545193687231,0.016746595658338238,6143.042753315786,24.096007365268633,5.3343522623866425e-6,56
LQH,2.5,fc.LQH_rm.2.5,0.8371672153635117,NA,0.0778478127761548,0.06276664191200641,0.7742179626439242,0.0739969841775782,NA,NA,0.16258663374595442,0.07218564772535792,0.012132950741272118,0.011413663078113416,6146.4750524049205,27.52830645440281,9.588869636292882e-7,56
L,3,fc.L_rm.3,0.750544718792867,NA,0.06712327281937598,0.09067548534376743,0.7084907299804993,0.09264798196778054,NA,NA,0.14298799951063806,0.11067523946850112,0.01131782945736434,0.015901868409250338,6261.7854017763175,142.83865582579983,8.758771471213582e-32,8
LQ,3,fc.LQ_rm.3,0.7670654320987654,NA,0.07527792986063413,0.08414144477983891,0.7246352635224527,0.09149021623233576,NA,NA,0.1511209502519102,0.11044413417144375,0.011544715447154472,0.01612135877456317,6201.495311724013,82.54856577349528,1.0821062531940828e-18,11
H,3,fc.H_rm.3,0.8411831961591221,NA,0.09982630185352089,0.10357128075315206,0.7530920613867808,0.11609316634099899,NA,NA,0.19705742217476896,0.14055359025973152,0.01938785270205643,0.018469034874142497,6157.578052115997,38.631306165479145,3.722045353510381e-9,53
