fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.7114888587093204,NA,0.04632609532605854,0.056501822458759954,0.6824706750488105,0.054991986826280134,NA,NA,0.1443819501884018,0.10051462337071092,0.02052568697729988,0.018820977793875492,3283.9762001212835,20.01933028492249,3.718559162005483e-5,11
LQ,1,fc.LQ_rm.1,0.7458347165635532,NA,0.050959916925441176,0.051281672454528596,0.7087054272795026,0.05187670178528036,NA,NA,0.15228931164415035,0.1277682356149648,0.02867383512544803,0.04815422524209463,3268.8561105173408,4.899240680979801,0.07139378974477568,19
H,1,fc.H_rm.1,0.8194089834515367,NA,0.08776048315568316,0.056946022664388286,0.7373691449998634,0.04813985593063332,NA,NA,0.22722543883834206,0.07529258420579868,0.037606837606837605,0.037764067417958964,3441.1958758214387,177.2390059850777,2.694982155315859e-39,73
LQH,1,fc.LQH_rm.1,0.8174664252301193,NA,0.09165103533461887,0.051896103115054555,0.7320715913781456,0.04470240522002171,NA,NA,0.22694053855344176,0.036224060554852,0.045014245014245016,0.04874210094243407,3504.6916164832005,240.73474664683954,4.391683127592203e-53,80
L,1.5,fc.L_rm.1.5,0.7109257582616568,NA,0.046724052277365466,0.05619640850800899,0.6823891955711666,0.05526989102406746,NA,NA,0.1443819501884018,0.10051462337071092,0.02052568697729988,0.018820977793875492,3281.9191093731574,17.96223953679646,1.0400788756867701e-4,10
LQ,1.5,fc.LQ_rm.1.5,0.7363915296011267,NA,0.05195567546392708,0.052352005571850685,0.7022175012855585,0.053958242535643235,NA,NA,0.137930337285176,0.1153358832324287,0.02867383512544803,0.04815422524209463,3269.5950226667915,5.638152830430499,0.04934097207525305,15
H,1.5,fc.H_rm.1.5,0.8071072883657764,NA,0.07980087460927461,0.05491107618801614,0.7317708678115596,0.04406024726928821,NA,NA,0.20655454461906075,0.10569003515596952,0.037606837606837605,0.037764067417958964,3317.0172455069815,53.06037567062049,2.486582379486635e-12,50
LQH,1.5,fc.LQH_rm.1.5,0.8023112519490971,NA,0.0815010324850628,0.04979025756308545,0.7272608054192521,0.04202142235975456,NA,NA,0.185889164598842,0.05289490065604698,0.022792022792022793,0.03424733698054504,3344.429770825829,80.47290098946814,2.7736305443717632e-18,56
L,2,fc.L_rm.2,0.7103948493536543,NA,0.04699723920964836,0.05578138058154431,0.6823756829848507,0.05542727157030884,NA,NA,0.1443819501884018,0.10051462337071092,0.014074074074074074,0.019316155274674514,3282.2974559605886,18.340586124227684,8.608140725964698e-5,10
LQ,2,fc.LQ_rm.2,0.7294904682863035,NA,0.051362262959574446,0.05377686951212648,0.6986707049476996,0.056271353932074775,NA,NA,0.1443819501884018,0.11334316801784557,0.013859020310633213,0.019052313632187012,3275.4698191513517,11.512949314990692,0.0026152418272284684,14
H,2,fc.H_rm.2,0.797818017202354,NA,0.07609864703085942,0.05143143270158407,0.7283330258798211,0.04327569573313233,NA,NA,0.19886223692675306,0.09371040266077042,0.05965811965811966,0.05882814913174474,3286.6415138876146,22.6846440512536,9.808648348369131e-6,38
LQH,2,fc.LQH_rm.2,0.7909104169810371,NA,0.06993091873653441,0.04514953295048768,0.7289228944644094,0.039112589702568874,NA,NA,0.17965260545905706,0.05426426510664327,0.0301994301994302,0.04136453883277843,3292.4143709919526,28.45750115559167,5.470779013193653e-7,41
L,2.5,fc.L_rm.2.5,0.7098048387908052,NA,0.047425978830012094,0.055263267926270544,0.6822768579613282,0.055613896564639186,NA,NA,0.1443819501884018,0.10051462337071092,0.006666666666666666,0.014907119849998597,3282.7724862950354,18.815616458674413,6.788250053937724e-5,10
LQ,2.5,fc.LQ_rm.2.5,0.7256984055128012,NA,0.05079395574364667,0.054995010104928944,0.6949361524102555,0.05767193007866377,NA,NA,0.1443819501884018,0.11334316801784557,0.013859020310633213,0.019052313632187012,3277.7368294303787,13.779959594017782,8.418540901866121e-4,13
H,2.5,fc.H_rm.2.5,0.7913158291836426,NA,0.07285850341482154,0.049930303669921496,0.7250899771225606,0.045191654452435705,NA,NA,0.16543332414300155,0.09223964431343927,0.05327635327635328,0.07989662642055323,3303.210357290577,39.253487454216156,2.475885373068999e-9,38
LQH,2.5,fc.LQH_rm.2.5,0.786878426638499,NA,0.06305499663668386,0.04272841734267425,0.7293334194423248,0.037969000918123504,NA,NA,0.18089330024813896,0.07817780178256557,0.030484330484330486,0.050097104593352176,3263.956869836361,0,0.8270219428045782,30
L,3,fc.L_rm.3,0.709268648458327,NA,0.0479543663630891,0.0545740882964778,0.6821873677319757,0.055821722912810554,NA,NA,0.1443819501884018,0.09344221422287151,0.006666666666666666,0.014907119849998597,3283.3738087943257,19.416938957964703,5.025535094250411e-5,10
LQ,3,fc.LQ_rm.3,0.7231130224837785,NA,0.051533344258756886,0.05413356394172523,0.6918753271932665,0.05763633893647094,NA,NA,0.14364120944766107,0.10941383156828814,0.013859020310633213,0.019052313632187012,3280.301948046501,16.345078210139945,2.334685553861823e-4,13
H,3,fc.H_rm.3,0.7869654443941452,NA,0.06817817828633883,0.04778881497172497,0.7222471137506427,0.04568163846749433,NA,NA,0.15898171123977575,0.09089994373494532,0.04586894586894587,0.08341790823550943,3303.089352664872,39.132482828511,2.6303064791509043e-9,34
LQH,3,fc.LQH_rm.3,0.7822473718625824,NA,0.05759395303142081,0.04490686814039579,0.7281246774260657,0.04038511401848448,NA,NA,0.17348589284073154,0.08362122230394668,0.030484330484330486,0.050097104593352176,3277.128309138226,13.17143930186512,0.0011412356475345414,31
L,3.5,fc.L_rm.3.5,0.7084869976359338,NA,0.0484178910748889,0.05359535082353266,0.6822635002109636,0.05579206432980249,NA,NA,0.1443819501884018,0.09344221422287151,0.006666666666666666,0.014907119849998597,3281.784542968832,17.827673132470863,1.1124666470696476e-4,9
LQ,3.5,fc.LQ_rm.3.5,0.7201189577989034,NA,0.05135781711813574,0.05341238802268057,0.6891675755798061,0.05711744582534119,NA,NA,0.129567135373587,0.1115026300160721,0.013859020310633213,0.019052313632187012,3278.494830141764,14.537960305402976,5.762873189612373e-4,11
H,3.5,fc.H_rm.3.5,0.7801835923746291,NA,0.06668899250993457,0.04513529374808365,0.7165545183591864,0.044365293313914735,NA,NA,0.13647458873265325,0.0831418972551559,0.038461538461538464,0.08600261451922268,3303.6189402482833,39.662070411922286,2.0184029495840027e-9,30
LQH,3.5,fc.LQH_rm.3.5,0.7771746894019416,NA,0.05414012334589853,0.047547224690831114,0.7249707931318341,0.04392684704688378,NA,NA,0.16607848543332415,0.09177115991776047,0.038176638176638175,0.06662038474331178,3270.6188596249726,6.661989788611663,0.02957224739114349,26
L,4,fc.L_rm.4,0.7077641969719833,NA,0.04909517144531879,0.05258583696945562,0.6823647760876419,0.05597842718574288,NA,NA,0.1443819501884018,0.09344221422287151,0.006666666666666666,0.014907119849998597,3282.250101292023,18.293231455661953,8.814390640072195e-5,9
LQ,4,fc.LQ_rm.4,0.7167738041346009,NA,0.05144674178049382,0.05256387694855022,0.6876716380648975,0.05709558268607686,NA,NA,0.129567135373587,0.1115026300160721,0,0,3281.5212310941174,17.564361257756445,1.2690082524248052e-4,11
H,4,fc.H_rm.4,0.7747256174236709,NA,0.06771202858389344,0.040413680584842765,0.7085259726180272,0.03887521952948641,NA,NA,0.14292620163587905,0.08672338436773587,0.046153846153846156,0.10320313742306722,3295.5167342912523,31.55986445489134,1.1597904847596544e-7,23
LQH,4,fc.LQH_rm.4,0.7698013178411549,NA,0.049418805679120915,0.04985662076397133,0.721222680480876,0.04802471049998649,NA,NA,0.166293539196765,0.1004361768579895,0.022792022792022793,0.03424733698054504,3290.25479481879,26.297924982428867,1.6106277590534438e-6,29
L,4.5,fc.L_rm.4.5,0.7072320305819627,NA,0.049768492309673104,0.051578765667634606,0.6825002426452665,0.05627786071683612,NA,NA,0.13697454278099438,0.09809139855741195,0.006666666666666666,0.014907119849998597,3280.360455451209,16.403585614847998,2.2673766745980097e-4,8
LQ,4.5,fc.LQ_rm.4.5,0.7138267692771993,NA,0.05096820285036463,0.052096676195588686,0.6862523993159684,0.05681930212263971,NA,NA,0.129567135373587,0.1115026300160721,0.006666666666666666,0.014907119849998597,3281.685823211197,17.728953374836237,1.1687556469967292e-4,10
H,4.5,fc.H_rm.4.5,0.7674226648558926,NA,0.0757227985844336,0.03351758517029268,0.6923520914494697,0.030969098113219642,NA,NA,0.16419262935391968,0.08278837520502148,0.046153846153846156,0.10320313742306722,3295.257236483056,31.300366646695238,1.3204707163378368e-7,18
LQH,4.5,fc.LQH_rm.4.5,0.7598888385896082,NA,0.04464404054312452,0.05087284227470806,0.7164940496379981,0.04946299566177224,NA,NA,0.1431155224703612,0.11616283388253087,0.0150997150997151,0.020682269416389214,3271.9246349374926,7.96776510113159,0.015393551333171392,19
L,5,fc.L_rm.5,0.7066470499471857,NA,0.0506258485230144,0.05056322097700897,0.6826015868941236,0.05668044769174949,NA,NA,0.1434261556842202,0.098498414453328,0.006666666666666666,0.014907119849998597,3280.8073612118865,16.850491375525507,1.8133403341185085e-4,8
LQ,5,fc.LQ_rm.5,0.7117335647100247,NA,0.050037297104577716,0.05202656096112582,0.6848473090360201,0.056331878221486574,NA,NA,0.13697454278099438,0.10152730434316902,0.006666666666666666,0.014907119849998597,3283.4464321768023,19.489562340441353,4.8463228564169585e-5,10
H,5,fc.H_rm.5,0.7521608570997435,NA,0.07886966830290354,0.027060166541094024,0.6723469453398474,0.020471366476843406,NA,NA,0.17855160371289402,0.09492135576728655,0.046153846153846156,0.10320313742306722,3303.6744123616136,39.71754252525261,1.9631896501381326e-9,16
LQH,5,fc.LQH_rm.5,0.7503978673104975,NA,0.04214765321608092,0.05164314450581235,0.7098374076463977,0.051191602632045564,NA,NA,0.1431155224703612,0.11616283388253087,0.014074074074074074,0.019316155274674514,3278.3743459028665,14.417476066505515,6.120711129652236e-4,18
