fc,rm,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
L,1,fc.L_rm.1,0.710062883376413,NA,0.0640775167046149,0.07938860074871243,0.6497624789189383,0.06329829724410371,NA,NA,0.16184140184140183,0.09735929177103185,0.05683397683397683,0.0671739222674927,3655.656311461602,138.2072706377303,8.511777451639658e-31,10
LQ,1,fc.LQ_rm.1,0.7713826627059142,NA,0.0753915513114917,0.060431860483256904,0.703095880617569,0.05434786846386486,NA,NA,0.15324918324918324,0.12043419831937167,0.04540540540540541,0.059362604764128774,3582.3353116752514,64.88627085137978,7.103511166347969e-15,16
H,1,fc.H_rm.1,0.8451390764245207,NA,0.07878122159972115,0.056254284014143646,0.7729276364134088,0.04992585692498304,NA,NA,0.1916008316008316,0.10541241886463373,0.011119691119691119,0.015236051551707932,3684.3165019754006,166.86746115152891,5.087904662130028e-37,79
LQH,1,fc.LQH_rm.1,0.8435355503259905,NA,0.07670433452622501,0.053289490299957894,0.77309643072316,0.04661657720661687,NA,NA,0.19041283041283041,0.08427576776283893,0.02254826254826255,0.023822112224013516,3795.623795271692,278.1747544478203,3.4392783650761166e-61,91
L,1.5,fc.L_rm.1.5,0.7090432467883183,NA,0.06207866602546384,0.08030112680021496,0.6509521898394114,0.06373895855151203,NA,NA,0.15612711612711613,0.08639630263048154,0.05683397683397683,0.0671739222674927,3656.2881047581523,138.8390639342806,6.206233180600539e-31,10
LQ,1.5,fc.LQ_rm.1.5,0.7692172369893137,NA,0.06980849834741257,0.06594872430648806,0.7049121563444517,0.0609642012985897,NA,NA,0.13103059103059103,0.14266287136223418,0.04540540540540541,0.059362604764128774,3591.7198306313944,74.27078980752276,6.511044574073092e-17,16
H,1.5,fc.H_rm.1.5,0.8417638208402454,NA,0.08172002669739205,0.06922837319235318,0.7651666603342921,0.06158667509333028,NA,NA,0.20302940302940303,0.11501871722149135,0.011119691119691119,0.015236051551707932,3664.211340154197,146.76229933032528,1.1811889709713043e-32,73
LQH,1.5,fc.LQH_rm.1.5,0.8374925735889819,NA,0.07310892300938679,0.05735404252606187,0.7709685960576559,0.04942796660998313,NA,NA,0.1716008316008316,0.0905650247753912,0.02254826254826255,0.023822112224013516,3564.6888623280875,47.2398215042158,4.8233730869737115e-11,55
L,2,fc.L_rm.2,0.7076324215886732,NA,0.06009116980365734,0.08113533898210643,0.6518152041504829,0.06400472203669402,NA,NA,0.1504128304128304,0.08367096826523437,0.05111969111969112,0.06208753524233515,3652.9776002507365,135.52855942686483,3.248590790699593e-30,8
LQ,2,fc.LQ_rm.2,0.7651685891748004,NA,0.06666825408384969,0.06646742401526787,0.7048832031727156,0.06173856809466135,NA,NA,0.14984258984258986,0.13815400740444858,0.04540540540540541,0.059362604764128774,3591.0012896809694,73.55224885709777,9.32566592089002e-17,12
H,2,fc.H_rm.2,0.8385806874734771,NA,0.09014608008899264,0.07450176554144912,0.7562643340811074,0.07245378326207567,NA,NA,0.21557766557766558,0.1138172943531761,0.011119691119691119,0.015236051551707932,3687.378569283328,169.92952845945638,1.100574629774206e-37,73
LQH,2,fc.LQH_rm.2,0.8334657227730412,NA,0.07221901467152361,0.060532199095840754,0.7659567253453197,0.051199123419025,NA,NA,0.16476685476685476,0.09856942286611012,0.016833976833976833,0.01538017694070679,3532.2560048690893,14.806964045217683,5.321773286937004e-4,43
L,2.5,fc.L_rm.2.5,0.7074206242043131,NA,0.05869519870993549,0.0814231090278342,0.6522867873579629,0.0636680973597822,NA,NA,0.1446985446985447,0.08284848438511633,0.03428571428571429,0.05111012519999519,3653.3620815758204,135.91304075194876,2.6804391335580615e-30,8
LQ,2.5,fc.LQ_rm.2.5,0.7605011380733768,NA,0.06552175870791307,0.0671385070131041,0.7025886751573881,0.06254047107489463,NA,NA,0.164986634986635,0.13455815623636017,0.04540540540540541,0.059362604764128774,3595.5658429279874,78.11680210411578,9.516992118050996e-18,10
H,2.5,fc.H_rm.2.5,0.8345407198796343,NA,0.09383415227127075,0.07367831406126599,0.7521321645290698,0.07577229407266214,NA,NA,0.19881199881199882,0.15443042309018098,0.005714285714285714,0.012777531299998798,3610.4694655062594,93.02042468238778,5.5235614073499475e-21,55
LQH,2.5,fc.LQH_rm.2.5,0.8293950850661626,NA,0.07281665089632464,0.05651782103236523,0.7626415863737507,0.04930056457655014,NA,NA,0.1722185922185922,0.11756931778175436,0.016833976833976833,0.01538017694070679,3517.4490408238717,0,0.8736706745211896,34
L,3,fc.L_rm.3,0.7070062883376413,NA,0.05667277067712939,0.08211363864658738,0.653900926866098,0.06385221943533935,NA,NA,0.15184140184140182,0.07622716724309149,0.022857142857142857,0.03725258517258657,3653.830419970725,136.3813791468533,2.1208383093323116e-30,8
LQ,3,fc.LQ_rm.3,0.7561563982871031,NA,0.0637194435943141,0.06820571884633207,0.7005768891644735,0.06312477218389252,NA,NA,0.1592723492723493,0.13482260586561487,0.04540540540540541,0.059362604764128774,3599.5095100240833,82.06046920021163,1.3247785280756303e-18,9
H,3,fc.H_rm.3,0.8308379306353921,NA,0.0964873087320243,0.07450431723898665,0.7470854313425289,0.07896588469383391,NA,NA,0.2173834273834274,0.172809422333668,0,0,3594.5124926716594,77.06345184778775,1.6115055722376895e-17,46
LQH,3,fc.LQH_rm.3,0.8269968365418001,NA,0.07387753989390951,0.05322767134052655,0.7599705360286979,0.04786804669024712,NA,NA,0.16507573507573509,0.1154402352567856,0.016833976833976833,0.01538017694070679,3521.430738585665,3.9816977617933844,0.11932544845421586,31
L,3.5,fc.L_rm.3.5,0.7065232822807762,NA,0.0550729648251377,0.08257796814813037,0.6557359922402759,0.06433373945772815,NA,NA,0.14986337986337986,0.09483225319975794,0.017142857142857144,0.038332593899996395,3654.3917436622623,136.9427028383907,1.6018345940904864e-30,8
LQ,3.5,fc.LQ_rm.3.5,0.7553921530805139,NA,0.0633851570772068,0.06982486019390334,0.697233233243395,0.0640813303849222,NA,NA,0.1703920403920404,0.14148571178263997,0.03397683397683397,0.046999694081135024,3599.046230647358,81.59718982348613,1.670102472305046e-18,8
H,3.5,fc.H_rm.3.5,0.8255098182940473,NA,0.09832140394219109,0.07631420221879183,0.7405519584340552,0.08026587070511387,NA,NA,0.2230977130977131,0.182897502619001,0,0,3569.5723797154283,52.123338891556614,4.196705837781659e-12,32
LQH,3.5,fc.LQH_rm.3.5,0.825911037382817,NA,0.07441721278280436,0.05136592601714362,0.7576868215373104,0.045151222268010494,NA,NA,0.18046035046035047,0.10544853254919868,0.016833976833976833,0.01538017694070679,3533.2673340207175,15.818293196845843,3.209586127580005e-4,31
L,4,fc.L_rm.4,0.7059577176806451,NA,0.05379592517206524,0.0832681035201418,0.6572234311934246,0.06511325769412601,NA,NA,0.16129195129195129,0.10717674933391667,0.017142857142857144,0.038332593899996395,3652.7853055273013,135.3362647034296,3.576442749986354e-30,7
LQ,4,fc.LQ_rm.4,0.754628872342888,NA,0.06533832751274538,0.06802530441780279,0.6937332264426511,0.06224306633839596,NA,NA,0.1780843480843481,0.13217493464681088,0.03969111969111969,0.047906330193646124,3600.7461119059317,83.29707108206003,7.138691162079893e-19,8
H,4,fc.H_rm.4,0.8195227807569152,NA,0.09765836757824362,0.07813169591158801,0.7340882348099124,0.07838782777253159,NA,NA,0.2173834273834274,0.1820120945699626,0.005405405405405406,0.012086853932431297,3570.555425176347,53.10638435247529,2.5671007846061146e-12,24
LQH,4,fc.LQH_rm.4,0.8241807800624976,NA,0.07468613110389095,0.05032957785641478,0.7559268946206404,0.044283977637668615,NA,NA,0.1872943272943273,0.09472134419018301,0.016833976833976833,0.01538017694070679,3531.02875315533,13.579712331458268,9.829936057494104e-4,26
L,4.5,fc.L_rm.4.5,0.7052748736545658,NA,0.054842066503804965,0.08223452017481477,0.6585342410554705,0.06597170672414449,NA,NA,0.16129195129195129,0.11976643292228448,0.017142857142857144,0.038332593899996395,3653.4899487134503,136.04090788957865,2.514432339387222e-30,7
LQ,4.5,fc.LQ_rm.4.5,0.7537560279310211,NA,0.06839818938470224,0.06699416818227916,0.689370793940037,0.06144542515733979,NA,NA,0.18379863379863381,0.13243260977326252,0.03428571428571429,0.05111012519999519,3602.525069291409,85.07602846753753,2.9330732267227144e-19,8
H,4.5,fc.H_rm.4.5,0.8097064156475444,NA,0.09652233558367926,0.07910709839177428,0.7261084983360367,0.07392155955039778,NA,NA,0.1973834273834274,0.1588466802185913,0.005405405405405406,0.012086853932431297,3596.3872978388013,78.9382570149296,6.311361295426604e-18,24
LQH,4.5,fc.LQH_rm.4.5,0.8225975078121986,NA,0.07519587751096961,0.049910113967709,0.7528556371102318,0.043847809091608875,NA,NA,0.20015147015147017,0.10763183218978722,0.011119691119691119,0.015236051551707932,3528.830010323564,11.380969499692128,0.002951220318768729,21
L,5,fc.L_rm.5,0.7044921106438795,NA,0.05606564425607759,0.08096890151310064,0.6597743161595183,0.06687354744533483,NA,NA,0.16129195129195129,0.11976643292228448,0.017142857142857144,0.038332593899996395,3654.3266971235694,136.87765629969772,1.654787932291745e-30,7
LQ,5,fc.LQ_rm.5,0.752657690675514,NA,0.07229424127922127,0.06799751552956747,0.6840289765407969,0.06299770273117625,NA,NA,0.20063261063261062,0.13136944233667508,0.03428571428571429,0.05111012519999519,3604.525589937166,87.07654911329428,1.0787364832202713e-19,8
H,5,fc.H_rm.5,0.7904413409976467,NA,0.09449413680370514,0.07473625031844199,0.7200247838141619,0.07497332969719597,NA,NA,0.19738342738342737,0.15094134034329584,0.005405405405405406,0.012086853932431297,3615.6109311161827,98.161890292311,4.22439106067824e-22,21
LQH,5,fc.LQH_rm.5,0.8211801242236025,NA,0.07619313523981623,0.05142695377390119,0.7492255183904429,0.045341151320001674,NA,NA,0.18386694386694385,0.09516888131624689,0.011119691119691119,0.015236051551707932,3529.402564621463,11.953523797591515,0.0022165271036197675,17
